feature,importance
rolling_diff_5g,0.2705969321467546
rolling_diff_10g,0.25864498189108454
season_game_num,0.12634061251969902
rest_diff,0.07155686866566789
away_rolling_5g,0.04675120773445965
home_rolling_10g,0.04159792754020997
away_rolling_10g,0.0384345354585227
home_rest_days,0.03766475106691964
home_rolling_5g,0.03317406246572508
away_rest_days,0.028644318102627478
west_to_east,0.024704259408340083
long_travel,0.006374372064705314
month,0.0060194366973859124
east_to_west,0.005997772971988593
is_playoff,0.002250310932019986
home_three_in_four,0.000757180670598007
away_back_to_back,0.00036988622981830343
home_back_to_back,0.00012058343347320536
away_three_in_four,0.0
